location,year,month,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
11111,1992,1,23.5,23.4,24,23.6,23.5,23.6,24.9,24.1,23.7,23.5,21.6,25,25.5,25.1,26.2,25.2,24.8,25.5,24.6,25.3,27.6,26.4,25.2,27.5,27.6,28,28,28.1,28,27.8,28.2
11111,1992,2,28,28.4,28.5,27.5,27.7,28.7,29,28,29.6,30.4,27.5,28.5,29,23.5,26,25.5,25.4,27.5,27.1,28.5,27.2,23.6,26.8,27.9,28.3,23.5,28.2,29.5,,,
